,order_date,product_name,category,branch_store,quantity,sales_value,profit
345,2024-12-28,City Construction Kit,Building Blocks,Medan Center,11,1166000,369521
346,2025-05-10,Bubble Machine,Outdoor Toy,Medan Center,4,156000,26481
347,2024-10-22,Kingdom Strategy,Board Game,Surabaya Mall,12,408000,111204
348,2024-12-23,Fashion Star,Doll,Yogyakarta Plaza,9,981000,275088
349,2025-11-23,Treasure Hunt,Board Game,Medan Center,9,504000,163265
350,2024-10-24,Fashion Star,Doll,Bandung Square,1,44000,14908
351,2025-11-02,Mini Ninja Hero,Action Figure,Yogyakarta Plaza,5,515000,113181
352,2025-12-13,Alphabet Blocks,Educational Toy,Medan Center,5,125000,15913
353,2024-02-21,Kids Basketball Hoop,Outdoor Toy,Bandung Square,11,825000,129044
354,2025-02-27,Math Puzzle Cube,Educational Toy,Jakarta Central,6,594000,129551
355,2025-07-17,Kids Basketball Hoop,Outdoor Toy,Jakarta Central,15,420000,84725
356,2024-07-23,Dream House Doll,Doll,Bali Beachwalk,13,572000,103126
357,2025-10-29,Water Blaster,Outdoor Toy,Jakarta Central,10,370000,86501
358,2025-03-03,Water Blaster,Outdoor Toy,Bandung Square,15,1725000,248308
359,2024-07-09,Dragon Defender,Action Figure,Yogyakarta Plaza,15,1545000,526123
360,2024-11-01,Treasure Hunt,Board Game,Jakarta Central,10,850000,107801
361,2025-10-18,Mystery Mansion,Board Game,Yogyakarta Plaza,9,675000,150847
362,2024-07-16,Coding Robot,Educational Toy,Surabaya Mall,13,286000,52243
363,2024-09-20,Flying Disc,Outdoor Toy,Bali Beachwalk,12,372000,38509
364,2025-11-21,Mystery Mansion,Board Game,Medan Center,13,416000,59851
365,2025-06-11,Flying Disc,Outdoor Toy,Yogyakarta Plaza,6,114000,22823
366,2025-05-03,Galaxy Warrior,Action Figure,Bandung Square,6,234000,23799
367,2024-09-30,Baby Joy,Doll,Yogyakarta Plaza,6,276000,67789
368,2025-10-31,Creative Bricks Set,Building Blocks,Surabaya Mall,6,576000,91627
369,2024-11-10,Water Blaster,Outdoor Toy,Yogyakarta Plaza,3,177000,48058
370,2024-04-30,Bubble Machine,Outdoor Toy,Bali Beachwalk,11,495000,94983
371,2025-05-04,Science Lab Kit,Educational Toy,Bandung Square,3,198000,56812
372,2025-12-19,City Construction Kit,Building Blocks,Yogyakarta Plaza,9,612000,177074
373,2025-11-27,Kids Basketball Hoop,Outdoor Toy,Bandung Square,13,1092000,347565
374,2025-12-21,Dragon Defender,Action Figure,Medan Center,6,102000,33589
375,2025-06-01,Super Robot X,Action Figure,Medan Center,4,324000,75869
376,2025-03-28,Alphabet Blocks,Educational Toy,Medan Center,2,190000,28756
377,2025-06-06,Space Blocks,Building Blocks,Jakarta Central,8,888000,101151
378,2025-07-31,Coding Robot,Educational Toy,Yogyakarta Plaza,1,79000,17031
379,2024-09-17,Treasure Hunt,Board Game,Yogyakarta Plaza,14,112000,32082
380,2025-03-09,Creative Bricks Set,Building Blocks,Jakarta Central,6,582000,67477
381,2024-02-02,Super Robot X,Action Figure,Yogyakarta Plaza,5,300000,43498
382,2025-01-26,Coding Robot,Educational Toy,Surabaya Mall,8,952000,313473
383,2025-11-30,Dream House Doll,Doll,Jakarta Central,11,1309000,307386
384,2024-07-01,Bubble Machine,Outdoor Toy,Jakarta Central,9,522000,121213
385,2024-01-24,Kids Basketball Hoop,Outdoor Toy,Jakarta Central,5,335000,89905
386,2025-01-23,Space Blocks,Building Blocks,Medan Center,14,518000,83852
387,2024-07-12,Kingdom Strategy,Board Game,Surabaya Mall,15,1800000,506260
388,2025-03-05,Super Robot X,Action Figure,Bali Beachwalk,10,1060000,354103
389,2024-03-09,Galaxy Warrior,Action Figure,Bandung Square,2,168000,18210
390,2024-02-15,Creative Bricks Set,Building Blocks,Bandung Square,7,448000,71046
391,2025-05-30,Math Puzzle Cube,Educational Toy,Bandung Square,5,185000,56230
392,2025-09-04,Bubble Machine,Outdoor Toy,Medan Center,13,1222000,372215
393,2025-11-07,Alphabet Blocks,Educational Toy,Bandung Square,9,324000,65898
394,2025-08-28,Treasure Hunt,Board Game,Medan Center,15,1530000,501678
395,2025-05-22,Flying Disc,Outdoor Toy,Medan Center,1,52000,17440
396,2024-11-22,Flying Disc,Outdoor Toy,Medan Center,12,732000,147911
397,2025-07-04,Word Challenge,Board Game,Bandung Square,8,304000,94949
398,2024-02-29,Kingdom Strategy,Board Game,Yogyakarta Plaza,9,540000,184651
399,2024-09-05,Mega Builder,Building Blocks,Yogyakarta Plaza,5,170000,31036
400,2024-04-04,Dragon Defender,Action Figure,Surabaya Mall,9,900000,276616
401,2025-11-20,Mini Ninja Hero,Action Figure,Yogyakarta Plaza,10,850000,93403
402,2025-11-18,Galaxy Warrior,Action Figure,Medan Center,9,315000,69252
403,2024-08-04,Mystery Mansion,Board Game,Jakarta Central,15,480000,163449
404,2025-12-13,Dragon Defender,Action Figure,Bandung Square,10,980000,148105
405,2025-01-24,Alphabet Blocks,Educational Toy,Surabaya Mall,8,608000,159405
406,2025-06-09,Mystery Mansion,Board Game,Surabaya Mall,15,1065000,230573
407,2024-07-27,Flying Disc,Outdoor Toy,Surabaya Mall,6,288000,58602
408,2024-05-29,Mega Builder,Building Blocks,Bali Beachwalk,1,41000,9771
409,2024-06-05,Space Blocks,Building Blocks,Surabaya Mall,4,200000,31500
410,2025-07-17,Mega Builder,Building Blocks,Yogyakarta Plaza,11,1045000,192688
411,2024-06-21,Dream House Doll,Doll,Yogyakarta Plaza,12,1308000,245961
412,2025-07-09,Coding Robot,Educational Toy,Bandung Square,11,165000,38112
413,2025-02-26,Super Robot X,Action Figure,Jakarta Central,3,345000,88898
414,2024-08-11,Galaxy Warrior,Action Figure,Jakarta Central,9,594000,114820
415,2025-05-14,Space Blocks,Building Blocks,Bali Beachwalk,1,8000,1864
416,2025-06-26,Princess Bella,Doll,Jakarta Central,12,516000,120710
417,2025-12-15,Treasure Hunt,Board Game,Medan Center,11,693000,208968
418,2025-06-20,Math Puzzle Cube,Educational Toy,Jakarta Central,3,114000,16870
419,2024-09-30,City Construction Kit,Building Blocks,Surabaya Mall,13,754000,90295
420,2024-09-06,Dream House Doll,Doll,Medan Center,12,432000,75597
421,2025-02-19,Super Robot X,Action Figure,Jakarta Central,7,392000,93364
422,2024-06-24,Super Robot X,Action Figure,Bali Beachwalk,2,142000,44209
423,2024-04-07,Bubble Machine,Outdoor Toy,Medan Center,15,1125000,371011
424,2025-08-03,Science Lab Kit,Educational Toy,Bali Beachwalk,8,336000,37511
425,2025-07-31,Mini Ninja Hero,Action Figure,Medan Center,11,132000,19118
426,2025-08-24,Treasure Hunt,Board Game,Bandung Square,3,312000,95213
427,2024-06-15,Princess Bella,Doll,Surabaya Mall,10,380000,91836
428,2024-05-23,Fashion Star,Doll,Yogyakarta Plaza,13,1248000,350739
429,2024-04-10,City Construction Kit,Building Blocks,Jakarta Central,7,259000,80204
430,2024-01-31,Word Challenge,Board Game,Surabaya Mall,11,462000,136699
431,2024-12-30,Dream House Doll,Doll,Bandung Square,9,504000,104812
432,2025-09-25,Flying Disc,Outdoor Toy,Jakarta Central,5,550000,88886
433,2024-06-06,Super Robot X,Action Figure,Surabaya Mall,7,693000,205108
434,2025-01-04,Coding Robot,Educational Toy,Surabaya Mall,2,38000,3849
435,2024-10-03,Word Challenge,Board Game,Surabaya Mall,2,48000,5847
436,2025-07-22,Dream House Doll,Doll,Medan Center,9,540000,67944
437,2024-04-05,Mini Ninja Hero,Action Figure,Medan Center,10,840000,248732
438,2025-02-27,Princess Bella,Doll,Surabaya Mall,7,749000,90759
439,2025-06-17,Mega Builder,Building Blocks,Medan Center,3,285000,55627
440,2024-10-01,Alphabet Blocks,Educational Toy,Surabaya Mall,8,208000,24089
441,2024-11-02,Fashion Star,Doll,Yogyakarta Plaza,8,864000,103015
442,2025-10-02,Kingdom Strategy,Board Game,Bali Beachwalk,8,672000,170800
443,2024-11-07,Princess Bella,Doll,Bandung Square,1,58000,10617
444,2025-03-26,Space Blocks,Building Blocks,Surabaya Mall,6,378000,114862
445,2024-11-24,Kids Basketball Hoop,Outdoor Toy,Surabaya Mall,10,960000,144204
446,2024-11-22,Kingdom Strategy,Board Game,Yogyakarta Plaza,5,510000,139607
447,2025-01-20,Baby Joy,Doll,Surabaya Mall,5,560000,166021
448,2024-07-23,Treasure Hunt,Board Game,Medan Center,10,770000,111635
449,2025-04-17,Creative Bricks Set,Building Blocks,Bali Beachwalk,12,408000,85522
450,2025-11-20,Treasure Hunt,Board Game,Yogyakarta Plaza,8,200000,51666
451,2024-06-06,Alphabet Blocks,Educational Toy,Bali Beachwalk,12,744000,221168
452,2025-05-05,Dragon Defender,Action Figure,Medan Center,10,590000,137819
453,2024-02-07,Flying Disc,Outdoor Toy,Medan Center,13,702000,193336
454,2024-09-11,Creative Bricks Set,Building Blocks,Jakarta Central,11,1023000,193093
455,2025-10-22,Water Blaster,Outdoor Toy,Medan Center,11,990000,197905
456,2024-01-11,Word Challenge,Board Game,Jakarta Central,2,82000,12751
457,2025-01-18,Kids Basketball Hoop,Outdoor Toy,Yogyakarta Plaza,7,469000,137457
458,2024-01-26,Mega Builder,Building Blocks,Surabaya Mall,8,168000,29208
459,2024-05-25,Super Robot X,Action Figure,Bali Beachwalk,6,282000,52386
460,2025-05-02,Coding Robot,Educational Toy,Surabaya Mall,2,128000,35903
461,2024-11-03,Fashion Star,Doll,Jakarta Central,1,111000,30824
462,2024-04-21,Mini Ninja Hero,Action Figure,Bali Beachwalk,11,1210000,170717
463,2024-06-27,Kids Basketball Hoop,Outdoor Toy,Medan Center,9,252000,46052
464,2025-02-18,Dream House Doll,Doll,Bandung Square,11,341000,49989
465,2024-01-30,Flying Disc,Outdoor Toy,Yogyakarta Plaza,12,1032000,331039
466,2024-01-05,Dream House Doll,Doll,Yogyakarta Plaza,12,420000,63607
467,2024-04-14,Water Blaster,Outdoor Toy,Medan Center,13,1547000,362341
468,2025-04-13,Mystery Mansion,Board Game,Bandung Square,2,82000,21949
469,2025-02-01,Fashion Star,Doll,Medan Center,10,580000,143115
470,2025-09-24,Mystery Mansion,Board Game,Yogyakarta Plaza,3,336000,90181
471,2024-05-17,Treasure Hunt,Board Game,Bali Beachwalk,6,138000,22030
472,2025-12-11,Galaxy Warrior,Action Figure,Surabaya Mall,3,219000,43168
473,2025-01-27,Mega Builder,Building Blocks,Medan Center,7,217000,48101
474,2024-06-19,Mega Builder,Building Blocks,Medan Center,8,352000,47546
475,2024-02-24,Word Challenge,Board Game,Medan Center,14,742000,250766
476,2025-01-28,Baby Joy,Doll,Bandung Square,9,648000,170597
477,2025-12-28,Dream House Doll,Doll,Yogyakarta Plaza,14,896000,199068
478,2024-10-26,Super Robot X,Action Figure,Bandung Square,1,43000,6717
479,2025-08-02,Kingdom Strategy,Board Game,Yogyakarta Plaza,12,1272000,370762
480,2024-04-26,Creative Bricks Set,Building Blocks,Medan Center,5,535000,126140
481,2025-03-27,Treasure Hunt,Board Game,Bali Beachwalk,9,315000,109444
482,2024-02-03,Galaxy Warrior,Action Figure,Surabaya Mall,8,328000,61383
483,2024-08-30,Dragon Defender,Action Figure,Jakarta Central,4,444000,126275
484,2025-09-16,Bubble Machine,Outdoor Toy,Bali Beachwalk,11,682000,96499
485,2024-03-01,Science Lab Kit,Educational Toy,Bandung Square,10,520000,121196
486,2025-12-21,Mega Builder,Building Blocks,Surabaya Mall,5,225000,54716
487,2025-02-25,Creative Bricks Set,Building Blocks,Bandung Square,15,225000,78327
488,2024-05-15,Kids Basketball Hoop,Outdoor Toy,Bali Beachwalk,4,104000,28896
489,2024-05-25,Coding Robot,Educational Toy,Yogyakarta Plaza,10,880000,147117
490,2024-03-18,Dream House Doll,Doll,Yogyakarta Plaza,11,1199000,383717
491,2024-10-11,Dragon Defender,Action Figure,Medan Center,12,1440000,276865
492,2024-01-03,Fashion Star,Doll,Medan Center,14,1498000,467064
493,2025-11-11,Dragon Defender,Action Figure,Bali Beachwalk,12,636000,198766
494,2025-03-15,Space Blocks,Building Blocks,Bandung Square,14,490000,109602
495,2025-07-14,Mystery Mansion,Board Game,Surabaya Mall,10,240000,57968
496,2024-02-19,Fashion Star,Doll,Bali Beachwalk,1,20000,5130
497,2024-06-10,Princess Bella,Doll,Jakarta Central,8,528000,52889
498,2024-05-15,Baby Joy,Doll,Bali Beachwalk,15,1365000,239511
499,2025-01-04,Treasure Hunt,Board Game,Bali Beachwalk,5,90000,17366
500,2025-02-09,Kids Basketball Hoop,Outdoor Toy,Jakarta Central,11,517000,145534
501,2024-04-03,Coding Robot,Educational Toy,Bali Beachwalk,12,240000,24065
502,2025-08-30,Princess Bella,Doll,Bandung Square,4,296000,79918
503,2024-12-17,Super Robot X,Action Figure,Bali Beachwalk,14,322000,111746
504,2024-03-13,Baby Joy,Doll,Yogyakarta Plaza,4,228000,27891
505,2025-01-11,Super Robot X,Action Figure,Surabaya Mall,15,690000,92654
506,2025-06-27,Science Lab Kit,Educational Toy,Jakarta Central,10,90000,22732
507,2024-08-06,Coding Robot,Educational Toy,Surabaya Mall,11,1133000,156176
508,2024-03-29,Dream House Doll,Doll,Bandung Square,15,300000,40500
509,2025-03-15,Dragon Defender,Action Figure,Surabaya Mall,6,654000,88262
510,2025-07-20,Treasure Hunt,Board Game,Bandung Square,10,840000,235447
511,2024-11-04,Treasure Hunt,Board Game,Bali Beachwalk,4,296000,74512
512,2025-10-23,Coding Robot,Educational Toy,Surabaya Mall,1,108000,35043
513,2024-04-25,Coding Robot,Educational Toy,Yogyakarta Plaza,4,284000,73703
514,2024-11-20,Super Robot X,Action Figure,Surabaya Mall,3,171000,53899
515,2025-07-13,Space Blocks,Building Blocks,Surabaya Mall,11,330000,95924
516,2024-03-10,Super Robot X,Action Figure,Medan Center,1,41000,6311
517,2024-10-20,Dragon Defender,Action Figure,Medan Center,11,1089000,245310
518,2025-02-15,Dream House Doll,Doll,Bali Beachwalk,2,178000,41677
519,2024-03-26,Mega Builder,Building Blocks,Surabaya Mall,5,90000,20504
520,2024-11-30,Science Lab Kit,Educational Toy,Medan Center,7,581000,150231
521,2025-12-16,Water Blaster,Outdoor Toy,Surabaya Mall,7,707000,239218
522,2024-03-29,Math Puzzle Cube,Educational Toy,Bandung Square,15,945000,121901
523,2025-11-13,Creative Bricks Set,Building Blocks,Surabaya Mall,12,1104000,314821
524,2024-05-20,Super Robot X,Action Figure,Bali Beachwalk,12,108000,15223
525,2025-01-15,Mystery Mansion,Board Game,Bandung Square,3,309000,91241
526,2024-12-09,Treasure Hunt,Board Game,Jakarta Central,13,806000,135404
527,2025-08-13,Mini Ninja Hero,Action Figure,Bali Beachwalk,11,187000,41894
528,2025-05-26,City Construction Kit,Building Blocks,Jakarta Central,14,1120000,158726
529,2025-08-10,Alphabet Blocks,Educational Toy,Jakarta Central,11,1100000,141716
530,2024-01-13,Water Blaster,Outdoor Toy,Jakarta Central,4,52000,11332
531,2024-02-06,Baby Joy,Doll,Bandung Square,9,990000,325202
532,2024-11-25,Flying Disc,Outdoor Toy,Bandung Square,4,244000,80267
533,2025-08-08,Mystery Mansion,Board Game,Jakarta Central,6,138000,31120
534,2025-06-12,Galaxy Warrior,Action Figure,Bandung Square,1,59000,6916
535,2024-12-01,Fashion Star,Doll,Surabaya Mall,2,156000,33413
536,2025-07-31,Kingdom Strategy,Board Game,Surabaya Mall,13,598000,170366
537,2025-08-28,Coding Robot,Educational Toy,Surabaya Mall,8,848000,249287
538,2024-01-07,Kids Basketball Hoop,Outdoor Toy,Bandung Square,15,900000,95379
539,2025-12-11,City Construction Kit,Building Blocks,Bali Beachwalk,15,135000,45595
540,2024-11-10,Dragon Defender,Action Figure,Bali Beachwalk,2,68000,15806
541,2024-03-02,Coding Robot,Educational Toy,Yogyakarta Plaza,3,297000,50477
542,2025-02-26,Galaxy Warrior,Action Figure,Medan Center,12,660000,141645
543,2024-04-07,Water Blaster,Outdoor Toy,Medan Center,9,225000,58343
544,2025-08-04,Princess Bella,Doll,Medan Center,1,63000,16733
545,2024-09-24,Science Lab Kit,Educational Toy,Surabaya Mall,14,672000,222775
546,2025-04-08,Fashion Star,Doll,Surabaya Mall,5,185000,21954
547,2024-04-21,Science Lab Kit,Educational Toy,Medan Center,3,63000,8888
548,2024-05-03,Fashion Star,Doll,Yogyakarta Plaza,9,477000,162732
549,2025-04-19,Coding Robot,Educational Toy,Surabaya Mall,5,585000,76037
550,2025-12-14,Alphabet Blocks,Educational Toy,Bali Beachwalk,10,130000,19988
551,2025-12-29,Kingdom Strategy,Board Game,Jakarta Central,4,212000,42200
552,2024-06-27,Mini Ninja Hero,Action Figure,Surabaya Mall,1,59000,18505
553,2025-04-18,Mega Builder,Building Blocks,Jakarta Central,2,220000,65659
554,2024-08-15,Super Robot X,Action Figure,Jakarta Central,3,99000,30285
555,2025-08-23,Treasure Hunt,Board Game,Medan Center,5,560000,66498
556,2025-03-30,Galaxy Warrior,Action Figure,Bali Beachwalk,13,312000,38374
557,2025-04-17,Treasure Hunt,Board Game,Jakarta Central,1,29000,9599
558,2024-01-31,Dream House Doll,Doll,Yogyakarta Plaza,7,665000,137432
559,2024-10-08,Kingdom Strategy,Board Game,Bandung Square,5,325000,104278
560,2024-10-29,Galaxy Warrior,Action Figure,Bali Beachwalk,8,480000,153933
561,2024-10-13,Princess Bella,Doll,Jakarta Central,7,175000,35841
562,2025-07-10,Kids Basketball Hoop,Outdoor Toy,Bali Beachwalk,13,130000,45155
563,2025-07-11,Bubble Machine,Outdoor Toy,Yogyakarta Plaza,13,910000,169267
564,2024-10-03,City Construction Kit,Building Blocks,Yogyakarta Plaza,3,33000,5930
565,2024-02-29,Math Puzzle Cube,Educational Toy,Surabaya Mall,13,884000,205404
566,2024-04-12,Mega Builder,Building Blocks,Bandung Square,4,368000,58986
567,2025-08-12,Creative Bricks Set,Building Blocks,Bandung Square,14,1540000,303542
568,2025-08-29,Science Lab Kit,Educational Toy,Bandung Square,6,666000,189494
569,2025-12-18,Treasure Hunt,Board Game,Bali Beachwalk,6,480000,115632
570,2025-07-09,Mega Builder,Building Blocks,Yogyakarta Plaza,5,150000,33391
571,2025-09-08,Super Robot X,Action Figure,Bandung Square,4,40000,9264
572,2024-07-25,Mini Ninja Hero,Action Figure,Medan Center,13,312000,57779
573,2024-01-23,Alphabet Blocks,Educational Toy,Jakarta Central,3,249000,68767
574,2025-01-08,Math Puzzle Cube,Educational Toy,Medan Center,2,110000,30374
575,2024-04-13,Flying Disc,Outdoor Toy,Medan Center,6,276000,49859
576,2025-05-13,Coding Robot,Educational Toy,Bali Beachwalk,11,528000,75794
577,2025-11-12,City Construction Kit,Building Blocks,Bandung Square,10,1120000,161098
578,2024-06-30,Mystery Mansion,Board Game,Bandung Square,12,96000,32370
579,2024-02-03,Space Blocks,Building Blocks,Medan Center,3,255000,45786
580,2025-08-02,Mega Builder,Building Blocks,Bali Beachwalk,2,142000,19192
581,2024-12-21,Water Blaster,Outdoor Toy,Bandung Square,6,174000,45074
582,2024-01-12,Mini Ninja Hero,Action Figure,Yogyakarta Plaza,5,170000,27605
583,2024-04-20,Mini Ninja Hero,Action Figure,Surabaya Mall,12,96000,10755
584,2025-02-27,Dream House Doll,Doll,Bandung Square,8,960000,186891
585,2025-05-05,Space Blocks,Building Blocks,Jakarta Central,13,1534000,375084
586,2025-04-07,Kids Basketball Hoop,Outdoor Toy,Bandung Square,2,220000,68516
587,2024-09-24,Treasure Hunt,Board Game,Surabaya Mall,2,34000,6305
588,2024-03-17,Baby Joy,Doll,Bali Beachwalk,9,171000,31547
589,2024-02-01,Space Blocks,Building Blocks,Bali Beachwalk,7,637000,89975
590,2024-04-13,Baby Joy,Doll,Jakarta Central,6,204000,70094
591,2024-10-15,Fashion Star,Doll,Bali Beachwalk,5,190000,23556
592,2024-02-25,Dream House Doll,Doll,Bandung Square,6,48000,9931
593,2024-04-09,Word Challenge,Board Game,Bandung Square,1,34000,4852
594,2024-04-28,Treasure Hunt,Board Game,Yogyakarta Plaza,5,540000,107658
595,2025-10-19,Fashion Star,Doll,Jakarta Central,9,513000,75011
596,2025-04-01,Fashion Star,Doll,Bandung Square,1,41000,8607
597,2025-07-31,Kingdom Strategy,Board Game,Surabaya Mall,1,27000,7777
598,2025-11-15,Water Blaster,Outdoor Toy,Jakarta Central,6,666000,156751
599,2024-03-03,Mega Builder,Building Blocks,Medan Center,14,798000,243071
600,2024-08-29,Dream House Doll,Doll,Medan Center,8,368000,44063
601,2025-08-07,Water Blaster,Outdoor Toy,Medan Center,15,1110000,333124
602,2025-04-04,Kids Basketball Hoop,Outdoor Toy,Jakarta Central,3,87000,29844
603,2025-03-09,Science Lab Kit,Educational Toy,Jakarta Central,2,190000,39681
604,2024-09-21,Kids Basketball Hoop,Outdoor Toy,Medan Center,6,606000,199097
605,2025-07-23,Super Robot X,Action Figure,Yogyakarta Plaza,7,546000,99116
606,2025-12-18,Word Challenge,Board Game,Jakarta Central,10,830000,191431
607,2024-06-02,Princess Bella,Doll,Yogyakarta Plaza,3,240000,59276
608,2024-04-13,Super Robot X,Action Figure,Medan Center,13,572000,181248
609,2025-01-27,Word Challenge,Board Game,Surabaya Mall,11,770000,187114
610,2024-10-09,Princess Bella,Doll,Bandung Square,7,182000,46330
611,2025-02-09,Flying Disc,Outdoor Toy,Jakarta Central,15,1800000,329172
612,2025-05-01,Math Puzzle Cube,Educational Toy,Bali Beachwalk,15,630000,204282
613,2024-11-14,Mini Ninja Hero,Action Figure,Surabaya Mall,5,575000,128170
614,2024-05-17,Water Blaster,Outdoor Toy,Bandung Square,5,515000,108550
615,2025-03-02,Mystery Mansion,Board Game,Bali Beachwalk,10,900000,110089
616,2025-05-11,Baby Joy,Doll,Yogyakarta Plaza,13,962000,304758
617,2024-11-14,Galaxy Warrior,Action Figure,Jakarta Central,12,864000,173531
618,2024-07-16,Creative Bricks Set,Building Blocks,Bandung Square,15,1710000,256810
619,2025-04-12,Galaxy Warrior,Action Figure,Jakarta Central,1,54000,14912
620,2025-06-01,Mystery Mansion,Board Game,Yogyakarta Plaza,7,623000,206068
621,2025-01-16,Water Blaster,Outdoor Toy,Bandung Square,8,672000,142145
622,2024-06-16,Fashion Star,Doll,Surabaya Mall,14,574000,164875
623,2024-01-29,Water Blaster,Outdoor Toy,Surabaya Mall,7,98000,13791
624,2025-10-24,Mega Builder,Building Blocks,Bandung Square,4,376000,57032
625,2024-01-21,Flying Disc,Outdoor Toy,Medan Center,14,1498000,511993
626,2024-05-15,Water Blaster,Outdoor Toy,Yogyakarta Plaza,11,330000,82594
627,2025-09-14,Galaxy Warrior,Action Figure,Surabaya Mall,13,611000,169971
628,2025-01-20,Bubble Machine,Outdoor Toy,Yogyakarta Plaza,14,728000,156337
629,2025-11-24,Coding Robot,Educational Toy,Surabaya Mall,9,1017000,260251
630,2025-06-07,Creative Bricks Set,Building Blocks,Jakarta Central,11,1265000,391953
631,2025-12-01,City Construction Kit,Building Blocks,Surabaya Mall,2,138000,16002
632,2024-09-24,Mystery Mansion,Board Game,Surabaya Mall,11,1089000,368133
633,2024-06-02,Bubble Machine,Outdoor Toy,Bandung Square,9,945000,151271
634,2024-11-23,Dragon Defender,Action Figure,Bali Beachwalk,11,275000,77088
635,2024-09-22,Flying Disc,Outdoor Toy,Surabaya Mall,15,915000,184052
636,2025-12-26,Water Blaster,Outdoor Toy,Medan Center,10,1120000,165176
637,2025-07-01,Kids Basketball Hoop,Outdoor Toy,Bali Beachwalk,11,1188000,260093
638,2024-11-03,Bubble Machine,Outdoor Toy,Medan Center,14,406000,125924
639,2024-04-09,Mega Builder,Building Blocks,Surabaya Mall,8,192000,54764
640,2024-12-09,Kids Basketball Hoop,Outdoor Toy,Bali Beachwalk,11,209000,32512
641,2024-12-05,Alphabet Blocks,Educational Toy,Yogyakarta Plaza,6,246000,60612
642,2024-02-24,Princess Bella,Doll,Yogyakarta Plaza,14,1246000,306383
643,2024-07-18,Creative Bricks Set,Building Blocks,Yogyakarta Plaza,9,207000,65593
644,2024-02-25,Fashion Star,Doll,Yogyakarta Plaza,14,1638000,225543
645,2025-08-06,Alphabet Blocks,Educational Toy,Yogyakarta Plaza,15,990000,134447
646,2025-05-14,Kids Basketball Hoop,Outdoor Toy,Jakarta Central,6,528000,183036
647,2025-04-07,Treasure Hunt,Board Game,Jakarta Central,5,170000,49350
648,2024-03-31,Science Lab Kit,Educational Toy,Yogyakarta Plaza,3,258000,53774
649,2025-05-03,Dream House Doll,Doll,Yogyakarta Plaza,7,56000,6128
650,2024-11-25,Alphabet Blocks,Educational Toy,Jakarta Central,13,1482000,344948
651,2024-09-11,Super Robot X,Action Figure,Bali Beachwalk,4,384000,122590
652,2025-01-27,Kingdom Strategy,Board Game,Jakarta Central,9,747000,131866
653,2024-10-24,Super Robot X,Action Figure,Surabaya Mall,8,808000,185898
654,2025-12-04,City Construction Kit,Building Blocks,Yogyakarta Plaza,3,153000,53402
655,2024-06-17,Fashion Star,Doll,Bandung Square,15,1665000,334411
656,2024-05-14,Science Lab Kit,Educational Toy,Bali Beachwalk,4,404000,42613
657,2025-01-10,Mega Builder,Building Blocks,Jakarta Central,12,1092000,325450
658,2025-09-30,Fashion Star,Doll,Medan Center,1,84000,29288
659,2024-01-21,Water Blaster,Outdoor Toy,Bali Beachwalk,1,96000,12378
660,2025-07-14,Dream House Doll,Doll,Jakarta Central,5,340000,93658
661,2025-03-06,Math Puzzle Cube,Educational Toy,Surabaya Mall,11,220000,58436
662,2024-04-17,Kingdom Strategy,Board Game,Yogyakarta Plaza,9,900000,228982
663,2025-05-24,Treasure Hunt,Board Game,Jakarta Central,4,340000,50978
664,2025-12-21,Kingdom Strategy,Board Game,Surabaya Mall,7,315000,44129
665,2025-12-05,Space Blocks,Building Blocks,Bandung Square,15,1035000,189043
666,2024-04-01,Super Robot X,Action Figure,Bali Beachwalk,15,330000,101906
667,2024-04-02,Flying Disc,Outdoor Toy,Bandung Square,13,949000,112705
668,2025-10-21,Water Blaster,Outdoor Toy,Surabaya Mall,4,264000,91651
669,2024-02-21,Mystery Mansion,Board Game,Yogyakarta Plaza,2,224000,32183
670,2025-11-24,Mini Ninja Hero,Action Figure,Surabaya Mall,6,372000,105884
671,2024-05-21,Super Robot X,Action Figure,Jakarta Central,11,990000,141201
672,2024-10-01,Word Challenge,Board Game,Medan Center,15,1515000,186705
673,2025-02-14,Kingdom Strategy,Board Game,Jakarta Central,7,462000,77596
674,2025-10-26,Dream House Doll,Doll,Yogyakarta Plaza,15,1650000,233796
675,2024-04-16,Math Puzzle Cube,Educational Toy,Bandung Square,7,581000,128208
676,2025-09-17,Space Blocks,Building Blocks,Bandung Square,7,749000,142047
677,2025-05-14,Galaxy Warrior,Action Figure,Yogyakarta Plaza,2,120000,25220
678,2024-11-17,Mini Ninja Hero,Action Figure,Bali Beachwalk,1,98000,31074
679,2024-12-12,Mega Builder,Building Blocks,Bali Beachwalk,9,666000,181192
680,2025-11-08,Creative Bricks Set,Building Blocks,Yogyakarta Plaza,12,468000,103185
681,2025-07-25,Flying Disc,Outdoor Toy,Bandung Square,15,1290000,146597
682,2025-04-25,Kids Basketball Hoop,Outdoor Toy,Medan Center,14,994000,315449
683,2024-09-03,Dragon Defender,Action Figure,Surabaya Mall,6,258000,29047
684,2024-08-28,Coding Robot,Educational Toy,Yogyakarta Plaza,2,132000,27858
685,2025-05-25,Space Blocks,Building Blocks,Jakarta Central,8,384000,49795
686,2025-02-17,Princess Bella,Doll,Jakarta Central,7,84000,20099
687,2025-09-25,Super Robot X,Action Figure,Medan Center,11,506000,163199
688,2025-11-18,Mega Builder,Building Blocks,Bali Beachwalk,8,408000,77860
